,1000/Tc (1/K),Compressed Pressure (bar),Compressed Temperature (K),Compression Time (ms),Equivalence Ratio,First Stage Delay (ms),First Stage Error (ms),Ignition Delay (ms),Ignition Delay Error (ms),Initial Pressure (bar),Initial Temperature (K),Simulated First Stage (ms),Simulated Overall Delay (ms),X Ar,X MV,X N2,X O2
62,1.5207,14.94,658.0,35.0,2.0,0.0,0.0,107.49,2.68,0.9667,373.0,72.30002591548393,72.50574892537867,0.0,0.0499,0.7505,0.1996
63,1.4763,14.9,677.0,35.0,2.0,0.0,0.0,57.95,1.21,0.8262,373.0,35.74979395681309,35.99053195631642,0.0,0.0499,0.7505,0.1996
64,1.4553,15.0,687.0,33.0,2.0,0.0,0.0,46.6,1.93,0.7724,373.0,25.199970802511338,25.362032302401303,0.0,0.0499,0.7505,0.1996
65,1.4312,15.03,699.0,36.0,2.0,0.0,0.0,37.04,0.5,0.7082,373.0,16.349885099503965,16.57713773360885,0.0,0.0499,0.7505,0.1996
66,1.3962,15.01,716.0,36.0,2.0,0.0,0.0,31.13,0.53,0.6202,373.0,8.899993987726624,8.980577276160446,0.0,0.0499,0.7505,0.1996
67,1.3833,14.94,723.0,33.0,2.0,16.57,0.48,27.44,0.99,0.7694,373.0,7.4499947063080185,7.5053543416211355,0.3752,0.0499,0.3753,0.1996
68,1.3582,15.0,736.0,36.0,2.0,15.21,1.45,26.95,0.61,0.7062,373.0,4.1999875462202,4.289773129693586,0.3752,0.0499,0.3753,0.1996
69,1.3435,14.95,744.0,36.0,2.0,15.19,0.54,26.97,0.72,0.667,373.0,2.9499945011955973,3.0395595525063825,0.3752,0.0499,0.3753,0.1996
70,1.3318,14.95,751.0,36.0,2.0,15.51,0.52,26.42,1.3,0.6388,373.0,2.749989135455273,2.864806765214283,0.3752,0.0499,0.3753,0.1996
71,1.3059,14.95,766.0,37.0,2.0,0.0,0.0,27.79,1.35,0.5798,373.0,0.7999861563528015,0.9301270113664089,0.3752,0.0499,0.3753,0.1996
72,1.2921,14.95,774.0,35.0,2.0,0.0,0.0,27.66,0.96,0.5502,373.0,0.9500211363677806,1.1370518450915341,0.3752,0.0499,0.3753,0.1996
73,1.2731,15.01,786.0,33.0,2.0,0.0,0.0,26.57,0.23,0.7856,413.0,0.499990142190164,0.6498707905911942,0.3752,0.0499,0.3753,0.1996
74,1.1918,15.01,839.0,36.0,2.0,0.0,0.0,19.49,0.59,0.5637,413.0,,,0.3752,0.0499,0.3753,0.1996
75,1.175,15.02,851.0,36.0,2.0,0.0,0.0,17.9,0.52,0.5248,413.0,,0.2496989537460763,0.3752,0.0499,0.3753,0.1996
